>>> abydos (v0.2.0) - IMAGE (http://snisurset.net/code/abydos/news.html)
Image format	MIME type(s)	Extension(s)	Supported by abydos	Supported by gdk-pixbuf	Supported by Deark	Supported by ImageMagick	Supported by FFmpeg
	LZW3: CyberYAFA compressor
	LZW4: CyberYAFA compressor
	LZW5: CyberYAFA compressor
	MASH: LZRW-compressor
	NONE: Null compressor
	NUKE: LZ77-compressor
	PWPK: PowerPacker backend for XPK
	RAKE: LZ77-compressor
	RDCN: Ross Data Compression
	RLEN: RLE compressor
	SASC: LZ-compressor with arithmetic encoding
	SDHC: Sample delta huffman compressor
	SHR3: LZ-compressor with arithmetic encoding
	SHRI: LZ-compressor with arithmetic encoding
	SHSC: Context modeling compressor
	SLZ3: CyberYAFA compressor
	SLZX: LZX-compressor with delta encoding
	SMPL: Huffman compressor with delta encoding
	SQSH: Compressor for sampled sounds
	TDCS: LZ77-compressor
	ZENO: LZW-compressor


>>> deark (v1.5.5) - ARCHIVE, IMAGE (https://github.com/jsummers/deark)
=== Image format modules ===

(Images that are not "extracted" will be converted to PNG, except as noted.)

* Alias PIX, a.k.a. Vivid ray tracer bitmap (module="alias_pix")
  - Truecolor only. Grayscale not supported.

* Alpha Microsystems BMP (module="alphabmp") (experimental)

* Amiga Workbench Icon (module="amigaicon")
  - Original format: Mostly supported, but the format is not portable, and
    there is not just one correct way to render the images.
  - NewIcons: Fully supported.
  - GlowIcons / OS3.5: Compressed images are supported. Uncompressed images are
    not.

* AMOS Picture Bank (module="abk")

* AMOS Sprite Bank (AmSp) / AMOS Icon Bank (AmIc) (module="abk")

* ANI (Windows Animated Cursor) (part of module "riff")
  - Extract individual CUR and ICO files.

* ANIM (Amiga IFF-ANIM) (module="anim")
  - Supports most common formats.
  - Extract the individual frames.
  Options
   -opt anim:includedups - Do not suppress duplicate frames.

* Animatic Film (module="animatic")
  - Extract the individual frames.
  Options
   -opt atari:palbits=<n> (refer to readme.md)

* ANSI Art (module="ansiart")
  - Autodetection usually works, but not always. You may have to use
     "-m ansiart" or "-m ansi".
  - Supports only the most common escape codes, which is usually good enough.
  - Some features depend on the output format. "Blink" is not supported with
     image output, for example.
  Options
   -opt char:output=image - Output to a bitmap instead of HTML
   -opt char:width=<n> - Number of characters per row
   -opt ansiart:no24bitcolor - Disable support for 24-bit color definitions
